Alternative,Subset,g1,g2,g3,g4,g5,Class
a1289,WHI,0.32,0.029,109,0.9902,12.8,Cl2
a1290,WHI,0.16,0.034,78,0.992,11.2,Cl2
a1291,WHI,0.16,0.033,98,0.994,9.7,Cl2
a1292,WHI,0.23,0.038,191,0.9966,9.7,Cl2
a1293,WHI,0.17,0.037,79,0.993,10.3,Cl2
a1294,WHI,0.39,0.03,102,0.993,11.6,Cl1
a1295,WHI,0.41,0.031,102,0.993,11.6,Cl1
a1296,WHI,0.23,0.038,191,0.9966,9.7,Cl2
a1297,WHI,0.38,0.045,131,0.9942,10.9,Cl2
a1298,WHI,0.42,0.045,122,0.9925,12.6,Cl2
a1299,WHI,0.34,0.04,163,0.9925,12.4,Cl2
a1300,WHI,0.23,0.042,166,0.9928,11.5,Cl1
a1301,WHI,0.245,0.045,159,0.995,10.2,Cl2
a1302,WHI,0.2,0.032,176,0.9939,11.4,Cl1
a1303,WHI,0.19,0.067,212,0.9958,9.6,Cl2
a1304,WHI,0.2,0.035,163,0.9952,10.3,Cl2
a1305,WHI,0.59,0.038,228,1,9.3,Cl1
a1306,WHI,0.14,0.05,114,0.9948,10.7,Cl2
a1307,WHI,0.24,0.047,105,0.99,12.8,Cl3
a1308,WHI,0.14,0.049,142,0.9958,9.5,Cl1
a1309,WHI,0.15,0.046,130,0.9948,10.4,Cl2
a1310,WHI,0.17,0.049,94,0.9949,10.3,Cl2
a1311,WHI,0.365,0.041,142,0.997,9.9,Cl2
a1312,WHI,0.23,0.039,116,0.9927,10.7,Cl2
a1313,WHI,0.25,0.04,160,0.9938,10.5,Cl1
a1314,WHI,0.32,0.046,186,0.9949,9.6,Cl1
a1315,WHI,0.31,0.04,169,0.9953,9.3,Cl2
a1316,WHI,0.2,0.044,162,0.997,10,Cl2
a1317,WHI,0.255,0.026,190,0.9932,11.2,Cl2
a1318,WHI,0.15,0.039,177,0.9927,10.8,Cl1
a1319,WHI,0.15,0.044,96,0.9932,10.3,Cl2
a1320,WHI,0.25,0.038,234,0.9955,8.8,Cl1
a1321,WHI,0.19,0.044,114,0.9914,12.8,Cl2
a1322,WHI,0.43,0.028,114,0.991,13.2,Cl2
a1323,WHI,0.31,0.037,152,0.992,10.1,Cl2
a1324,WHI,0.2,0.093,161,0.9924,11,Cl1
a1325,WHI,0.16,0.043,182,0.9927,10.8,Cl2
a1326,WHI,0.32,0.04,114,0.9911,12.8,Cl2
a1327,WHI,0.22,0.042,168,0.9958,9.2,Cl2
a1328,WHI,0.26,0.047,167,0.9928,10.5,Cl2
a1329,WHI,0.37,0.028,81,0.9902,11.7,Cl2
a1330,WHI,0.19,0.052,104,0.994,9.5,Cl1
a1331,WHI,0.21,0.05,108,0.994,9.5,Cl1
a1332,WHI,0.15,0.058,110,0.9972,8.8,Cl2
a1333,WHI,0.16,0.05,210,1.0004,9.3,Cl2
a1334,WHI,0.21,0.034,180,0.991,12.6,Cl3
a1335,WHI,0.24,0.048,107,0.9918,12.4,Cl2
a1336,WHI,0.21,0.047,189,0.995,10.1,Cl2
a1337,WHI,0.29,0.042,161,0.9941,11.2,Cl3
a1338,WHI,0.18,0.048,251,0.9956,10,Cl1
a1339,WHI,0.18,0.048,251,0.9956,10,Cl1
a1340,WHI,0.58,0.033,116,0.9959,10.8,Cl2
a1341,WHI,0.16,0.04,121,0.9922,10,Cl2
a1342,WHI,0.54,0.029,151,0.9931,10.4,Cl1
a1343,WHI,0.58,0.033,116,0.9959,10.8,Cl2
a1344,WHI,0.25,0.059,181,0.9984,9.8,Cl2
a1345,WHI,0.23,0.041,165,0.9908,12.2,Cl3
a1346,WHI,0.39,0.043,113,0.991,12.7,Cl3
a1347,WHI,0.46,0.039,163,0.9928,12.2,Cl2
a1348,WHI,0.35,0.039,162,0.9936,11.9,Cl2
a1349,WHI,0.29,0.042,161,0.9941,11.2,Cl3
a1350,WHI,0.35,0.042,61,0.9924,10.4,Cl1
a1351,WHI,0.57,0.034,122,0.9917,12.8,Cl2
a1352,WHI,0.37,0.027,130,0.9906,12.7,Cl2
a1353,WHI,0.21,0.047,189,0.995,10.1,Cl2
a1354,WHI,0.18,0.048,251,0.9956,10,Cl1
a1355,WHI,0.13,0.04,179,0.9955,9,Cl1
a1356,WHI,0.19,0.04,143,0.9907,11.4,Cl1
a1357,WHI,0.22,0.05,191,1,8.9,Cl2
a1358,WHI,0.29,0.039,167,0.9953,9.3,Cl2
a1359,WHI,0.35,0.048,103,0.9911,12,Cl3
a1360,WHI,0.19,0.04,132,0.9922,10.8,Cl2
a1361,WHI,0.12,0.044,158,0.9951,10.5,Cl2
a1362,WHI,0.13,0.038,189.5,0.9948,10.6,Cl2
a1363,WHI,0.25,0.04,115,0.9906,11.3,Cl2
a1364,WHI,0.32,0.051,96,0.994,9.5,Cl1
a1365,WHI,0.19,0.04,143,0.9907,11.4,Cl1
a1366,WHI,0.13,0.046,140,0.9927,10.1,Cl2
a1367,WHI,0.14,0.037,95,0.9914,10.9,Cl2
a1368,WHI,0.27,0.058,115,0.9958,8.9,Cl1
a1369,WHI,0.22,0.05,191,1,8.9,Cl2
a1370,WHI,0.64,0.168,185,0.9984,9.3,Cl1
a1371,WHI,0.28,0.052,116,0.9941,10.4,Cl2
a1372,WHI,0.26,0.042,162,0.9944,12,Cl2
a1373,WHI,0.22,0.044,181,0.998,9.5,Cl2
a1374,WHI,0.22,0.044,181,0.998,9.5,Cl2
a1375,WHI,0.23,0.032,121,0.9902,12.4,Cl2
a1376,WHI,0.3,0.032,130,0.9911,11.2,Cl2
a1377,WHI,0.27,0.047,134,0.9929,11.4,Cl2
a1378,WHI,0.28,0.05,136,0.993,11.4,Cl2
a1379,WHI,0.28,0.047,132,0.9918,11.1,Cl2
a1380,WHI,0.46,0.054,126,0.992,10.4,Cl2
a1381,WHI,0.38,0.044,152,0.9932,12,Cl2
a1382,WHI,0.43,0.039,98,0.992,12.3,Cl2
a1383,WHI,0.56,0.045,92,0.994,9.1,Cl2
a1384,WHI,0.36,0.046,102,0.9923,10.5,Cl2
a1385,WHI,0.23,0.047,133,0.993,11.4,Cl2
a1386,WHI,0.33,0.042,138,0.9956,9.5,Cl1
a1387,WHI,0.49,0.039,116,0.9907,13.7,Cl2
a1388,WHI,0.42,0.034,85,0.99,13.4,Cl2
a1389,WHI,0.18,0.044,143,0.9918,11.3,Cl2
a1390,WHI,0.19,0.037,180,0.9926,10,Cl2
a1391,WHI,0.19,0.034,123,0.995,10.1,Cl2
a1392,WHI,0.16,0.029,81,0.99,12.2,Cl2
a1393,WHI,0.42,0.034,85,0.99,13.4,Cl2
a1394,WHI,0.135,0.042,101,0.9946,9.3,Cl2
a1395,WHI,0.49,0.039,116,0.9907,13.7,Cl2
a1396,WHI,0.19,0.039,98,0.9898,12.3,Cl2
a1397,WHI,0.18,0.044,143,0.9918,11.3,Cl2
a1398,WHI,0.25,0.05,200,0.9986,8.9,Cl2
a1399,WHI,0.25,0.05,200,0.9986,8.9,Cl2
a1400,WHI,0.2,0.035,83,0.9928,11.5,Cl2
a1401,WHI,0.25,0.05,200,0.9986,8.9,Cl2
a1402,WHI,0.67,0.052,222,0.9979,9.3,Cl2
a1403,WHI,0.4,0.044,122,0.994,11.1,Cl3
a1404,WHI,0.26,0.044,128,0.9937,10.9,Cl3
a1405,WHI,0.31,0.043,73,0.9938,11.6,Cl1
a1406,WHI,0.39,0.069,117,0.9942,10.2,Cl1
a1407,WHI,0.22,0.034,90,0.9944,10.5,Cl3
a1408,WHI,0.19,0.033,78,0.993,11.4,Cl2
a1409,WHI,0.25,0.05,200,0.9986,8.9,Cl2
a1410,WHI,0.2,0.04,118,0.9932,10.6,Cl2
a1411,WHI,0.26,0.037,97,0.9934,11.6,Cl2
a1412,WHI,0.2,0.035,83,0.9928,11.5,Cl2
a1413,WHI,0.3,0.035,155,0.9925,12.3,Cl3
a1414,WHI,0.29,0.042,124,0.9944,10.8,Cl2
a1415,WHI,0.17,0.037,130,0.9909,11.3,Cl2
a1416,WHI,0.415,0.038,63,0.9932,9.3,Cl1
a1417,WHI,0.23,0.045,128,0.9934,10,Cl2
a1418,WHI,0.55,0.057,366.5,1.0001,11,Cl1
a1419,WHI,0.35,0.044,132,0.992,10.2,Cl1
a1420,WHI,0.14,0.04,103,0.9916,10.8,Cl2
a1421,WHI,0.28,0.042,137,0.998,10.1,Cl1
a1422,WHI,0.18,0.047,90,0.9919,11.6,Cl2
a1423,WHI,0.165,0.051,105,0.9925,9.1,Cl1
a1424,WHI,0.25,0.056,225,0.9977,10,Cl1
a1425,WHI,0.29,0.042,124,0.9944,10.8,Cl2
a1426,WHI,0.22,0.052,128,0.991,11.4,Cl2
a1427,WHI,0.22,0.045,140,0.99,12.7,Cl2
a1428,WHI,0.25,0.042,156,0.9917,11.3,Cl1
a1429,WHI,0.18,0.033,81,0.9923,10.4,Cl2
a1430,WHI,0.22,0.051,87,0.9928,9.6,Cl1
a1431,WHI,0.39,0.048,119,0.9923,10.1,Cl1
a1432,WHI,0.22,0.051,87,0.9928,9.6,Cl1
a1433,WHI,0.36,0.03,94,0.9902,12.1,Cl2
a1434,WHI,0.29,0.031,99,0.9893,12.2,Cl2
a1435,WHI,0.25,0.042,156,0.9917,11.3,Cl1
a1436,WHI,0.23,0.053,94,0.9982,9.6,Cl1
a1437,WHI,0.56,0.051,243,1.0005,9.2,Cl1
a1438,WHI,0.18,0.033,81,0.9923,10.4,Cl2
a1439,WHI,0.23,0.05,210,0.9951,9.5,Cl1
a1440,WHI,0.25,0.052,226,0.9956,8.9,Cl1
a1441,WHI,0.26,0.05,162,0.998,8.8,Cl1
a1442,WHI,0.31,0.057,117,0.9928,10.5,Cl1
a1443,WHI,0.25,0.061,117,0.9938,9.4,Cl1
a1444,WHI,0.18,0.04,125,0.9914,12.2,Cl2
a1445,WHI,0.43,0.033,158,0.9955,11.3,Cl2
a1446,WHI,0.2,0.044,130,0.9924,12.2,Cl2
a1447,WHI,0.27,0.063,92,0.9911,12.2,Cl2
a1448,WHI,0.16,0.055,150,0.9917,11.2,Cl2
a1449,WHI,0.16,0.055,150,0.9917,11.2,Cl2
a1450,WHI,0.19,0.036,172,0.9932,11.5,Cl2
a1451,WHI,0.43,0.033,158,0.9955,11.3,Cl2
a1452,WHI,0.4,0.048,138,0.9929,9.3,Cl1
a1453,WHI,0.43,0.033,158,0.9955,11.3,Cl2
a1454,WHI,0.52,0.034,156,0.9958,11.8,Cl2
a1455,WHI,0.21,0.054,231,1.0012,9.2,Cl1
a1456,WHI,0.34,0.069,150,0.9968,9.2,Cl1
a1457,WHI,0.27,0.063,92,0.9911,12.2,Cl2
a1458,WHI,0.2,0.044,130,0.9924,12.2,Cl2
a1459,WHI,0.22,0.044,144,0.991,12.2,Cl2
a1460,WHI,0.11,0.048,133,0.9946,10.6,Cl2
a1461,WHI,0.17,0.05,128,0.9928,12.4,Cl2
a1462,WHI,0.145,0.048,164,0.9946,10.8,Cl2
a1463,WHI,0.16,0.055,150,0.9917,11.2,Cl2
a1464,WHI,0.19,0.051,137,0.9918,11,Cl2
a1465,WHI,0.44,0.031,151,0.9926,12.7,Cl3
a1466,WHI,0.2,0.044,163,0.9931,10.2,Cl1
a1467,WHI,0.19,0.036,172,0.9932,11.5,Cl2
a1468,WHI,0.25,0.03,96,0.9903,12.3,Cl2
a1469,WHI,0.24,0.046,60,0.9928,9.8,Cl1
a1470,WHI,0.4,0.048,138,0.9929,9.3,Cl1
a1471,WHI,0.52,0.034,156,0.9958,11.8,Cl2
a1472,WHI,0.43,0.033,158,0.9955,11.3,Cl2
a1473,WHI,0.21,0.052,48,0.9911,11.4,Cl1
a1474,WHI,0.2,0.038,128,0.9938,10.8,Cl2
a1475,WHI,0.25,0.057,85,0.9942,9.5,Cl1
a1476,WHI,0.08,0.05,148,0.9945,10.2,Cl2
a1477,WHI,0.85,0.028,184,0.9962,10.7,Cl1
a1478,WHI,0.51,0.04,104,0.992,10.8,Cl2
a1479,WHI,0.22,0.044,159,0.9927,11.5,Cl2
a1480,WHI,0.16,0.056,124,0.9948,10.7,Cl2
a1481,WHI,0.08,0.05,148,0.9945,10.2,Cl2
a1482,WHI,0.25,0.048,124,0.9942,10.1,Cl2
a1483,WHI,0.16,0.046,187,0.9952,10.4,Cl2
a1484,WHI,0.25,0.057,85,0.9942,9.5,Cl1
a1485,WHI,0.32,0.053,134,0.9958,9.1,Cl1
a1486,WHI,0.28,0.034,126,0.9918,10.6,Cl2
a1487,WHI,0.15,0.033,51,0.9932,9.4,Cl2
a1488,WHI,0.25,0.054,169,1.0004,9.8,Cl2
a1489,WHI,0.26,0.044,224,0.9972,9.5,Cl2
a1490,WHI,0.16,0.037,187,0.9998,9.3,Cl1
a1491,WHI,0.185,0.03,117,0.9918,10.3,Cl2
a1492,WHI,0.2,0.031,97,0.9918,11.1,Cl1
a1493,WHI,0.3,0.046,188,0.9964,10,Cl1
a1494,WHI,0.34,0.033,180,0.9936,12.3,Cl3
a1495,WHI,0.35,0.033,186,0.9931,12.4,Cl3
a1496,WHI,0.29,0.03,197,0.9938,12.3,Cl2
a1497,WHI,0.62,0.039,62,0.9934,10.4,Cl1
a1498,WHI,0.27,0.044,126,0.99,12.1,Cl2
a1499,WHI,0.27,0.041,86,0.9914,12.5,Cl2
a1500,WHI,0.51,0.043,155,0.9904,13,Cl2
a1501,WHI,0.19,0.03,132,0.994,11,Cl2
a1502,WHI,0.2,0.04,169,0.9938,10.1,Cl1
a1503,WHI,0.3,0.034,121,0.9933,9.2,Cl1
a1504,WHI,0.36,0.039,124,0.9909,12.6,Cl2
a1505,WHI,0.17,0.045,126,0.9942,12.2,Cl3
a1506,WHI,0.18,0.041,130,0.9945,9.8,Cl2
a1507,WHI,0.2,0.051,205,0.9954,11,Cl2
a1508,WHI,0.26,0.044,160,0.996,10,Cl2
a1509,WHI,0.21,0.06,170,0.9991,9.8,Cl2
a1510,WHI,0.2,0.053,144,0.993,10.5,Cl1
a1511,WHI,0.18,0.061,145,0.9942,10,Cl1
a1512,WHI,0.23,0.042,126,0.9934,11.2,Cl2
a1513,WHI,0.22,0.034,134,0.9939,11,Cl2
a1514,WHI,0.22,0.031,161,0.9937,11.2,Cl2
a1515,WHI,0.19,0.03,132,0.994,11,Cl2
a1516,WHI,0.155,0.039,136,0.9926,10.5,Cl2
a1517,WHI,0.22,0.037,154,0.9951,10.6,Cl2
a1518,WHI,0.24,0.038,163,0.9952,10.6,Cl2
a1519,WHI,0.23,0.035,95,0.9935,12,Cl2
a1520,WHI,0.2,0.04,169,0.9938,10.1,Cl1
a1521,WHI,0.2,0.038,167,0.9939,10.1,Cl2
a1522,WHI,0.3,0.034,121,0.9933,9.2,Cl1
a1523,WHI,0.21,0.041,164,0.9927,11,Cl1
a1524,WHI,0.25,0.044,185,0.998,10,Cl2
a1525,WHI,0.21,0.042,158,0.9997,8.7,Cl2
a1526,WHI,0.27,0.037,156,0.9981,8.7,Cl1
a1527,WHI,0.27,0.037,156,0.992,11.1,Cl2
a1528,WHI,0.28,0.045,195,0.9954,11,Cl2
a1529,WHI,0.27,0.037,156,0.992,11.1,Cl2
a1530,WHI,0.21,0.042,158,0.9997,8.7,Cl2
a1531,WHI,0.27,0.037,156,0.9981,8.7,Cl1
a1532,WHI,0.3,0.037,174,0.9943,11.2,Cl2
a1533,WHI,0.23,0.049,209,0.9941,11.1,Cl2
a1534,WHI,0.26,0.028,107,0.9936,10.8,Cl2
a1535,WHI,0.18,0.044,176,0.9996,9,Cl2
a1536,WHI,0.15,0.031,122,0.9932,10.3,Cl2
a1537,WHI,0.13,0.028,24,0.9926,9.9,Cl1
a1538,WHI,0.28,0.04,148,0.9936,10,Cl2
a1539,WHI,0.17,0.034,106,0.992,9.8,Cl2
a1540,WHI,0.26,0.028,107,0.9936,10.8,Cl2
a1541,WHI,0.18,0.044,176,0.9996,9,Cl2
a1542,WHI,0.53,0.029,86,0.993,9.1,Cl1
a1543,WHI,0.16,0.037,104,0.9924,10.6,Cl2
a1544,WHI,0.14,0.038,99,0.9928,10.6,Cl2
a1545,WHI,0.13,0.028,24,0.9926,9.9,Cl1
a1546,WHI,0.12,0.049,152,0.9952,10.6,Cl2
a1547,WHI,0.29,0.034,156,0.9945,9.9,Cl2
a1548,WHI,0.3,0.034,158,0.9945,9.9,Cl2
a1549,WHI,0.36,0.025,102,0.9903,12.8,Cl2
a1550,WHI,0.15,0.031,122,0.9932,10.3,Cl2
a1551,WHI,0.18,0.051,157,0.9953,10.6,Cl2
a1552,WHI,0.19,0.122,129,0.9936,8.7,Cl2
a1553,WHI,0.21,0.038,152,0.9912,12.6,Cl2
a1554,WHI,0.3,0.057,156,0.9962,11,Cl2
a1555,WHI,0.42,0.056,164,0.9965,11.2,Cl2
a1556,WHI,0.24,0.032,148,0.9932,10.7,Cl2
a1557,WHI,0.23,0.036,182,0.9967,9.6,Cl2
a1558,WHI,0.18,0.051,157,0.9953,10.6,Cl2
a1559,WHI,0.43,0.045,115,0.9963,9,Cl1
a1560,WHI,0.35,0.036,56,0.992,10.5,Cl1
a1561,WHI,0.3,0.033,156,0.991,12.8,Cl2
a1562,WHI,0.28,0.059,112,0.9958,10.1,Cl1
a1563,WHI,0.34,0.027,126,0.99,12.2,Cl2
a1564,WHI,0.3,0.033,156,0.991,12.8,Cl2
a1565,WHI,0.28,0.059,112,0.9958,10.1,Cl1
a1566,WHI,0.19,0.044,117,0.9938,10.1,Cl2
a1567,WHI,0.18,0.046,158,0.9996,9.2,Cl1
a1568,WHI,0.19,0.055,110,0.9946,9.9,Cl1
a1569,WHI,0.3,0.055,188,0.9974,9.7,Cl2
a1570,WHI,0.3,0.038,157,0.9945,9.9,Cl1
a1571,WHI,0.3,0.041,159,0.9946,9.9,Cl1
a1572,WHI,0.3,0.055,188,0.9974,9.7,Cl2
a1573,WHI,0.22,0.063,168,0.9957,10.3,Cl2
a1574,WHI,0.26,0.045,116,0.9931,10.3,Cl1
a1575,WHI,0.17,0.048,108,0.9947,10.5,Cl1
a1576,WHI,0.17,0.053,182,0.9953,10.5,Cl2
a1577,WHI,0.27,0.05,74,0.9931,9.8,Cl2
a1578,WHI,0.64,0.05,128,0.9946,10.6,Cl1
a1579,WHI,0.18,0.046,168,0.9978,10.1,Cl1
a1580,WHI,0.31,0.062,191,0.9989,9,Cl1
a1581,WHI,0.31,0.046,119,1.0004,9.5,Cl1
a1582,WHI,0.3,0.039,84,0.9938,11.5,Cl2
a1583,WHI,0.24,0.039,108,0.9934,11.9,Cl2
a1584,WHI,0.18,0.046,168,0.9978,10.1,Cl1
a1585,WHI,0.25,0.045,209,0.9956,9.2,Cl2
a1586,WHI,0.3,0.039,165,0.9982,8.7,Cl1
a1587,WHI,0.31,0.042,147,0.9948,9.8,Cl1
a1588,WHI,0.25,0.045,209,0.9956,9.2,Cl2
a1589,WHI,0.3,0.039,165,0.9982,8.7,Cl1
a1590,WHI,0.27,0.036,122,0.9926,11.2,Cl2
a1591,WHI,0.14,0.028,165,0.991,12.3,Cl2
a1592,WHI,0.12,0.042,161,0.9945,10.4,Cl2
a1593,WHI,0.21,0.047,111,0.9916,10.7,Cl2
a1594,WHI,0.16,0.043,63,0.9953,10.5,Cl2
a1595,WHI,0.29,0.047,136,0.9938,9.4,Cl2
a1596,WHI,0.27,0.046,206,0.9956,9.2,Cl2
a1597,WHI,0.55,0.034,122,0.9906,11.9,Cl1
a1598,WHI,0.27,0.046,206,0.9956,9.2,Cl2
a1599,WHI,0.24,0.172,108,0.9932,9.9,Cl2
a1600,WHI,0.33,0.167,94,0.9914,11.4,Cl2
a1601,WHI,0.29,0.047,136,0.9938,9.4,Cl2
a1602,WHI,0.34,0.046,223,0.996,10.7,Cl2
a1603,WHI,0.39,0.034,77,0.9906,12.7,Cl1
a1604,WHI,0.41,0.034,53,0.98815,13.5,Cl2
a1605,WHI,0.41,0.048,137,0.9942,9.5,Cl1
a1606,WHI,0.26,0.032,113,0.9903,12.9,Cl3
a1607,WHI,0.32,0.031,109,0.9906,12.5,Cl2
a1608,WHI,0.19,0.04,118,0.9935,9.5,Cl2
a1609,WHI,0.27,0.057,235,1.0024,8.6,Cl1
a1610,WHI,0.2,0.048,212,0.9968,10,Cl2
a1611,WHI,0.32,0.031,109,0.9906,12.5,Cl2
a1612,WHI,0.26,0.04,100,0.9941,10.1,Cl2
a1613,WHI,0.26,0.027,87,0.9919,11.3,Cl2
a1614,WHI,0.14,0.035,120,0.9928,10.6,Cl2
a1615,WHI,0.29,0.035,131,0.9958,10.8,Cl1
a1616,WHI,0.19,0.047,140,0.9932,10.7,Cl2
a1617,WHI,0.34,0.045,206,0.9957,9,Cl2
a1618,WHI,0.2,0.065,143,0.9937,9.2,Cl2
a1619,WHI,0.37,0.045,243,0.9982,8.5,Cl2
a1620,WHI,0.22,0.029,128,0.9928,11.3,Cl3
a1621,WHI,0.26,0.027,87,0.9919,11.3,Cl2
a1622,WHI,0.32,0.05,131,0.9956,9.4,Cl1
a1623,WHI,0.44,0.045,169,0.9957,8.7,Cl2
a1624,WHI,0.14,0.053,118,0.9954,9.4,Cl2
a1625,WHI,0.17,0.039,131,0.993,10.5,Cl2
a1626,WHI,0.26,0.037,161,0.9954,9.7,Cl2
a1627,WHI,0.22,0.048,195,0.9987,10.2,Cl2
a1628,WHI,0.32,0.05,131,0.9956,9.4,Cl1
a1629,WHI,0.2,0.057,108,0.9928,11.5,Cl2
a1630,WHI,0.15,0.047,98,0.9951,9.6,Cl2
a1631,WHI,0.25,0.053,121,0.993,11.4,Cl1
a1632,WHI,0.2,0.057,108,0.9928,11.5,Cl2
a1633,WHI,0.28,0.041,111,0.9926,12.2,Cl3
a1634,WHI,0.19,0.037,110,0.9938,11,Cl2
a1635,WHI,0.25,0.048,228,1.0001,9.2,Cl2
a1636,WHI,0.14,0.035,126,0.9933,10.2,Cl2
a1637,WHI,0.49,0.043,149,0.9952,10,Cl1
a1638,WHI,0.12,0.042,160,0.9934,9.7,Cl2
a1639,WHI,0.47,0.239,220,0.9988,9.2,Cl1
a1640,WHI,0.22,0.042,105,0.993,10.5,Cl1
a1641,WHI,0.49,0.043,149,0.9952,10,Cl1
a1642,WHI,0.22,0.054,151,0.9948,10.1,Cl2
a1643,WHI,0.19,0.058,134,0.9998,9.1,Cl2
a1644,WHI,0.3,0.049,144,0.9971,10.2,Cl2
a1645,WHI,0.19,0.058,134,0.9998,9.1,Cl2
a1646,WHI,0.24,0.048,149,0.9962,10.5,Cl2
a1647,WHI,0.22,0.054,151,0.9948,10.1,Cl2
a1648,WHI,0.21,0.036,99,0.99,12.1,Cl2
a1649,WHI,0.3,0.045,100,0.9942,10.2,Cl1
a1650,WHI,0.26,0.058,166,0.9965,9.4,Cl1
a1651,WHI,0.31,0.044,131,0.9912,12.8,Cl2
a1652,WHI,0.42,0.076,209,0.9978,9,Cl2
a1653,WHI,0.29,0.044,118,0.9928,10.9,Cl1
a1654,WHI,0.33,0.053,176,1.0103,8.8,Cl2
a1655,WHI,0.46,0.052,184,0.9956,9,Cl1
a1656,WHI,0.28,0.046,142,0.9936,10.2,Cl1
a1657,WHI,0.15,0.048,98,0.9929,9.2,Cl1
a1658,WHI,0.4,0.06,162,0.9966,11.3,Cl2
a1659,WHI,0.31,0.05,220,0.9964,8.8,Cl1
a1660,WHI,0.325,0.049,217,0.996,9.3,Cl1
a1661,WHI,0.27,0.049,217,0.9959,9.4,Cl2
a1662,WHI,0.26,0.047,191,0.9954,10.3,Cl2
a1663,WHI,0.21,0.047,114,0.9914,10.8,Cl2
a1664,WHI,0.33,0.053,176,1.0103,8.8,Cl2
a1665,WHI,0.28,0.059,177,1.0004,9,Cl1
a1666,WHI,0.13,0.036,114,0.9911,11.5,Cl3
a1667,WHI,0.445,0.04,84,0.9938,10.8,Cl1
a1668,WHI,0.39,0.055,128,0.9927,11.8,Cl2
a1669,WHI,0.18,0.033,72,0.9922,10.5,Cl2
a1670,WHI,0.31,0.036,124,0.9924,9.9,Cl2
a1671,WHI,0.24,0.046,160,0.9963,9.8,Cl2
a1672,WHI,0.35,0.028,87,0.9936,11.4,Cl2
a1673,WHI,0.26,0.138,168,0.9951,9.3,Cl1
a1674,WHI,0.27,0.137,163,0.9951,9.3,Cl1
a1675,WHI,0.22,0.046,188,0.9955,10.3,Cl2
a1676,WHI,0.27,0.047,224,0.9961,8.9,Cl1
a1677,WHI,0.35,0.028,87,0.9936,11.4,Cl2
a1678,WHI,0.23,0.032,156,0.992,11.1,Cl2
a1679,WHI,0.3,0.045,170,0.9944,10.4,Cl2
a1680,WHI,0.35,0.034,117,0.9944,10.1,Cl1
a1681,WHI,0.32,0.054,197,1.0008,9,Cl1
a1682,WHI,0.31,0.046,212,0.9962,11.9,Cl2
a1683,WHI,0.25,0.055,205,0.9986,9,Cl2
a1684,WHI,0.25,0.055,205,0.9986,9,Cl2
a1685,WHI,0.26,0.049,195,1,9.1,Cl2
a1686,WHI,0.25,0.055,205,0.9986,9,Cl2
a1687,WHI,0.26,0.047,147,0.9982,10,Cl1
a1688,WHI,0.26,0.049,195,1,9.1,Cl2
a1689,WHI,0.25,0.041,216,0.9949,9.4,Cl1
a1690,WHI,0.16,0.034,123,0.9915,11.4,Cl2
a1691,WHI,0.43,0.05,175,0.9951,9.7,Cl1
a1692,WHI,0.25,0.055,205,0.9986,9,Cl2
a1693,WHI,0.24,0.04,213,0.9927,11.8,Cl2
a1694,WHI,0.265,0.048,198,0.9955,10.2,Cl1
a1695,WHI,0.12,0.06,150,0.9952,9.2,Cl2
a1696,WHI,0.21,0.036,132,0.9928,11,Cl2
a1697,WHI,0.32,0.041,190,0.9982,10,Cl2
a1698,WHI,0.18,0.038,190,0.9914,12.2,Cl2
a1699,WHI,0.24,0.04,213,0.9927,11.8,Cl2
a1700,WHI,0.26,0.043,175,0.9918,11.6,Cl2
a1701,WHI,0.26,0.043,121,0.9944,10.2,Cl2
a1702,WHI,0.29,0.033,208,0.9969,10.3,Cl1
a1703,WHI,0.27,0.046,114,0.9955,8.6,Cl1
a1704,WHI,0.33,0.058,151,0.9954,9.6,Cl1
a1705,WHI,0.31,0.057,148,0.9955,9.6,Cl1
a1706,WHI,0.25,0.035,127,0.9921,11.3,Cl2
a1707,WHI,0.24,0.038,157,0.9934,9.9,Cl2
a1708,WHI,0.26,0.056,179,0.9998,9.6,Cl1
a1709,WHI,0.61,0.051,161,0.9946,10.6,Cl1
a1710,WHI,0.22,0.055,180,0.9984,9.8,Cl1
a1711,WHI,0.31,0.032,67,0.9924,10.5,Cl1
a1712,WHI,0.2,0.037,120,0.9939,10.8,Cl1
a1713,WHI,0.18,0.061,178,0.995,10,Cl2
a1714,WHI,0.34,0.059,136,0.9957,10.1,Cl2
a1715,WHI,0.3,0.123,116,0.9953,9.4,Cl1
a1716,WHI,0.18,0.04,148,0.9912,11.5,Cl3
a1717,WHI,0.21,0.046,108,0.9939,10.8,Cl2
a1718,WHI,0.27,0.044,142,0.9921,9.9,Cl2
a1719,WHI,0.2,0.05,178,0.9954,9,Cl1
a1720,WHI,0.23,0.043,69,0.9933,9.4,Cl2
a1721,WHI,0.2,0.044,180,0.9941,10.8,Cl2
a1722,WHI,0.15,0.052,190,0.995,10.9,Cl2
a1723,WHI,0.4,0.041,148,0.9977,12,Cl2
a1724,WHI,0.18,0.04,148,0.9912,11.5,Cl3
a1725,WHI,0.13,0.056,122,0.9945,10.5,Cl2
a1726,WHI,0.17,0.064,152,0.9952,9.3,Cl2
a1727,WHI,0.3,0.034,97,0.9924,11.8,Cl2
a1728,WHI,0.445,0.045,212,0.9986,10,Cl2
a1729,WHI,0.3,0.123,116,0.9953,9.4,Cl1
a1730,WHI,0.22,0.036,138,0.9939,11.4,Cl2
